participant_id,run,puzzle_id,attempt,pnp,frame
43,2,23,0,0,2022-10-28-134141_43_2_23_0_frames.json
36,1,13,0,0,2022-10-27-134130_36_1_13_0_frames.json
57,1,5,0,0,2023-07-13-141457_57_1_5_0_frames.json
67,1,12,0,0,2023-07-20-080207_67_1_12_0_frames.json
66,2,26,0,0,2023-07-19-145512_66_2_26_0_frames.json
65,2,3,0,0,2023-07-19-140431_65_2_3_0_frames.json
37,2,11,2,0,2022-10-27-140827_37_2_11_2_frames.json
63,1,11,5,0,2023-07-19-081712_63_1_11_5_frames.json
53,2,3,0,0,2023-07-12-105430_53_2_3_0_frames.json
33,1,1,0,0,2022-10-27-092230_33_1_1_0_frames.json
62,2,3,0,0,2023-07-17-094203_62_2_3_0_frames.json
32,1,14,4,0,2022-10-27-080421_32_1_14_4_frames.json
55,1,3,0,0,2023-07-13-080347_55_1_3_0_frames.json
68,1,17,1,0,2023-07-20-081254_68_1_17_1_frames.json
42,2,17,1,0,2022-10-28-131444_42_2_17_1_frames.json
68,1,2,0,0,2023-07-20-081254_68_1_2_0_frames.json
43,2,14,1,0,2022-10-28-134141_43_2_14_1_frames.json
64,2,7,0,0,2023-07-19-115355_64_2_7_0_frames.json
59,2,15,0,0,2023-07-14-085529_59_2_15_0_frames.json
65,2,27,9,0,2023-07-19-141954_65_2_27_9_frames.json
67,1,27,1,0,2023-07-20-082016_67_1_27_1_frames.json
63,2,19,0,0,2023-07-19-085424_63_2_19_0_frames.json
33,2,7,0,0,2022-10-27-100622_33_2_7_0_frames.json
66,2,18,0,0,2023-07-19-145512_66_2_18_0_frames.json
65,1,20,11,0,2023-07-19-133815_65_1_20_11_frames.json
52,2,27,10,0,2023-07-06-140707_52_2_27_10_frames.json
52,2,6,0,0,2023-07-06-140707_52_2_6_0_frames.json
65,2,1,0,0,2023-07-19-140431_65_2_1_0_frames.json
61,1,11,0,0,2023-07-14-141409_61_1_11_0_frames.json
70,1,10,1,0,2023-07-21-081325_70_1_10_1_frames.json
46,1,20,1,0,2022-10-31-090239_46_1_20_1_frames.json
61,1,17,0,0,2023-07-14-141409_61_1_17_0_frames.json
57,1,11,2,0,2023-07-13-141457_57_1_11_2_frames.json
35,1,15,0,0,2022-10-27-113955_35_1_15_0_frames.json
48,1,27,0,0,2022-11-01-085734_48_1_27_0_frames.json
33,1,27,1,0,2022-10-27-092230_33_1_27_1_frames.json
59,1,23,0,0,2023-07-14-080528_59_1_23_0_frames.json
41,1,27,2,0,2022-10-28-084044_41_1_27_2_frames.json
68,2,15,1,0,2023-07-20-084305_68_2_15_1_frames.json
44,1,18,1,0,2022-10-28-131357_44_1_18_1_frames.json
38,2,17,1,0,2022-10-27-142220_38_2_17_1_frames.json
47,2,23,0,0,2022-10-31-143058_47_2_23_0_frames.json
32,1,6,0,0,2022-10-27-080421_32_1_6_0_frames.json
42,1,10,0,0,2022-10-28-125617_42_1_10_0_frames.json
67,2,19,3,0,2023-07-20-083344_67_2_19_3_frames.json
33,1,5,0,0,2022-10-27-092230_33_1_5_0_frames.json
55,2,7,1,0,2023-07-13-082819_55_2_7_1_frames.json
39,1,5,0,0,2022-10-27-134039_39_1_5_0_frames.json
34,1,12,0,0,2022-10-27-103120_34_1_12_0_frames.json
47,2,14,2,0,2022-10-31-143058_47_2_14_2_frames.json
65,2,26,0,0,2023-07-19-141954_65_2_26_0_frames.json
66,1,11,10,0,2023-07-19-141935_66_1_11_10_frames.json
57,1,11,0,0,2023-07-13-141457_57_1_11_0_frames.json
66,1,25,0,0,2023-07-19-141935_66_1_25_0_frames.json
66,2,10,6,0,2023-07-19-145512_66_2_10_6_frames.json
38,2,14,10,0,2022-10-27-142220_38_2_14_10_frames.json
60,2,7,1,0,2023-07-14-090808_60_2_7_1_frames.json
66,2,15,4,0,2023-07-19-145512_66_2_15_4_frames.json
69,1,14,0,0,2023-07-20-080931_69_1_14_0_frames.json
62,2,20,0,0,2023-07-17-094203_62_2_20_0_frames.json
62,1,8,0,0,2023-07-17-091343_62_1_8_0_frames.json
38,1,26,1,0,2022-10-27-140545_38_1_26_1_frames.json
63,1,15,0,0,2023-07-19-081712_63_1_15_0_frames.json
38,1,14,0,0,2022-10-27-134814_38_1_14_0_frames.json
70,1,1,0,0,2023-07-21-081325_70_1_1_0_frames.json
33,1,12,0,0,2022-10-27-092230_33_1_12_0_frames.json
59,2,13,2,0,2023-07-14-085529_59_2_13_2_frames.json
36,1,8,1,0,2022-10-27-134130_36_1_8_1_frames.json
53,1,19,0,0,2023-07-12-102448_53_1_19_0_frames.json
48,1,1,0,0,2022-11-01-085734_48_1_1_0_frames.json
61,1,18,0,0,2023-07-14-141409_61_1_18_0_frames.json
38,1,19,0,0,2022-10-27-140545_38_1_19_0_frames.json
59,1,9,0,0,2023-07-14-080528_59_1_9_0_frames.json
47,1,17,0,0,2022-10-31-135739_47_1_17_0_frames.json
58,2,20,2,0,2023-07-14-085218_58_2_20_2_frames.json
58,1,20,0,0,2023-07-14-080110_58_1_20_0_frames.json
54,2,17,0,0,2023-07-13-081457_54_2_17_0_frames.json
57,2,13,0,0,2023-07-13-145327_57_2_13_0_frames.json
64,1,24,0,0,2023-07-19-112134_64_1_24_0_frames.json
34,2,15,3,0,2022-10-27-105501_34_2_15_3_frames.json
66,2,8,1,0,2023-07-19-145512_66_2_8_1_frames.json
57,1,27,1,0,2023-07-13-141457_57_1_27_1_frames.json
61,2,9,0,0,2023-07-14-143850_61_2_9_0_frames.json
53,2,24,0,0,2023-07-12-105430_53_2_24_0_frames.json
47,1,6,0,0,2022-10-31-135739_47_1_6_0_frames.json
37,2,0,0,0,2022-10-27-140827_37_2_0_0_frames.json
67,2,14,2,0,2023-07-20-083344_67_2_14_2_frames.json
47,2,19,0,0,2022-10-31-143058_47_2_19_0_frames.json
55,2,4,0,0,2023-07-13-082819_55_2_4_0_frames.json
65,1,12,1,0,2023-07-19-131305_65_1_12_1_frames.json
36,1,16,0,0,2022-10-27-134130_36_1_16_0_frames.json
41,1,18,0,0,2022-10-28-084044_41_1_18_0_frames.json
48,2,20,2,0,2022-11-01-092839_48_2_20_2_frames.json
55,1,22,1,0,2023-07-13-081310_55_1_22_1_frames.json
38,1,8,0,0,2022-10-27-134814_38_1_8_0_frames.json
41,2,5,0,0,2022-10-28-091900_41_2_5_0_frames.json
34,1,13,1,0,2022-10-27-103120_34_1_13_1_frames.json
52,1,14,3,0,2023-07-06-134438_52_1_14_3_frames.json
58,1,20,6,0,2023-07-14-080110_58_1_20_6_frames.json
53,1,12,0,0,2023-07-12-102448_53_1_12_0_frames.json
54,1,17,0,0,2023-07-13-080236_54_1_17_0_frames.json
34,1,27,1,0,2022-10-27-103120_34_1_27_1_frames.json
57,1,14,6,0,2023-07-13-141457_57_1_14_6_frames.json
61,1,17,1,0,2023-07-14-141409_61_1_17_1_frames.json
57,1,21,0,0,2023-07-13-141457_57_1_21_0_frames.json
48,2,8,0,0,2022-11-01-092839_48_2_8_0_frames.json
65,2,15,0,0,2023-07-19-141954_65_2_15_0_frames.json
